それ,それ,それ,"that, that one",[sound:8b0ee07c0864e07d96871e87f158ad96.mp3],Pronoun,,<b>それ</b>はとってもいい話だ。,<b>それ</b>はとってもいい 話[はなし]だ。,<b>それ</b> は とっても いい はなし だ,That's a really nice story.,<b>（　）</b>はとってもいい 話[はなし]だ。,[sound:c951babc6302fbe6ee96898170363a6e.mp3],"<img src=""fefcf8b5fc45942801a9a5c4645228a0.jpg"" />",Core 2000 Step 01 - 001,1,1,56,
一つ,一[ひと]つ,ひとつ,one (thing),[sound:bdc5f88b912f85251908f1cfa5efc115.mp3],Noun,,それを<b>一つ</b>ください。,それを<b> 一[ひと]つ</b>ください。,それ を <b>ひとつ</b> ください,Please give me one of those.,それを<b>（　）</b>ください。,[sound:883f02075c189378649e6a6dd0cc8b56.mp3],"<img src=""5bc1eb1402a031d217529ad457f9f254.jpg"" />",Core 2000 Step 01 - 053,53,2,1,
一,一[いち],いち,one,[sound:9ba0545aca5e7e5dfcaa133ca78a3bdf.mp3],Noun,,<b>一</b>から始めましょう。,<b> 一[いち]</b>から 始[はじ]めましょう。,<b>いち</b> から はじめましょう,Let's start from the beginning.,<b>（　）</b>から 始[はじ]めましょう。,[sound:6a11e9f529e843d5b5d2f4bacac6e54f.mp3],"<img src=""2b1004a12f44893bdc51f7b5d830e610.jpg"" />",Core 2000 Step 01 - 114,114,3,158,
二,二[に],に,two,[sound:12a6b9533b981952ad7c4199f0260029.mp3],Noun,,その人には<b>二</b>回会った。,その 人[ひと]には<b> 二[に]</b> 回会[かい あ]った。,その ひと に は <b>に</b> かい あった,I met that person twice.,その 人[ひと]には<b>（　）</b> 回会[かい あ]った。,[sound:977e4ea0cceefd610ccf34b686c03dbe.mp3],"<img src=""6da2f68f666ff35f6017e3ba48ab8475.jpg"" />",Core 2000 Step 02 - 076,276,4,130,
二つ,二[ふた]つ,ふたつ,two (things),[sound:dd64f3d4753f3227f10e0804732d1bef.mp3],Noun,,ソフトクリームを<b>二つ</b>ください。,ソフトクリームを<b> 二[ふた]つ</b>ください。,そふとくりーむ を <b>ふたつ</b> ください,Please give me two ice cream cones.,ソフトクリームを<b>（　）</b>ください。,[sound:c9923552ab128a6f133c9667204965d9.mp3],"<img src=""ddb1df63551118f25aaa21c44babd4e7.jpg"" />",Core 2000 Step 02 - 094,294,5,2,
三,三[さん],さん,three,[sound:27e72ef81e5daa90c25c074c747e124b.mp3],Noun,,彼女は<b>三</b>人の子供の母親だ。,彼女[かのじょ]は<b> 三[さん]</b> 人[にん]の 子供[こども]の 母親[ははおや]だ。,かのじょ は <b>さん</b>にん の こども の ははおや だ,She's the mother of three children.,彼女[かのじょ]は<b>（　）</b> 人[にん]の 子供[こども]の 母親[ははおや]だ。,[sound:430df0d6ea1a635897b3a3f8b564ff23.mp3],"<img src=""794d24af6ccade3d1b64feceeaecf637.jpg"" />",Core 2000 Step 02 - 092,292,6,239,
三つ,三[みっ]つ,みっつ,three (things),[sound:7d9010a2f75543ff90c0713daff65e44.mp3],Noun,,コップを<b>三つ</b>買いました。,コップを<b> 三[みっ]つ</b> 買[か]いました。,こっぷ を <b>みっつ</b> かいました,I bought three glasses.,コップを<b>（　）</b> 買[か]いました。,[sound:088e3e74f2324164c0575a99cd3557ff.mp3],"<img src=""e72e8d8f05868c9422d1b6ae897832d5.jpg"" />",Core 2000 Step 02 - 117,317,7,53,
四つ,四[よっ]つ,よっつ,four (things),[sound:eb59cb2c08d3f78edc8df92fba7b6ac5.mp3],Noun,,私は腕時計を<b>四つ</b>持っています。,私[わたし]は 腕時計[うでどけい]を<b> 四[よっ]つ</b> 持[も]っています。,わたし は うでどけい を <b>よっつ</b> もって います,I have four wristwatches.,私[わたし]は 腕時計[うでどけい]を<b>（　）</b> 持[も]っています。,[sound:409205b3c8ee4630ef1979d4ee72d3a6.mp3],"<img src=""a3267bbba322df42792e78a38452ac0c.jpg"" />",Core 2000 Step 02 - 126,326,8,371,
四,四[し],し,four,[sound:eedf5c918c219b0de4e39445e27d037e.mp3],Noun,,<b>四</b>月に大学に入学しました。,<b> 四[し]</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。,<b>し</b>がつ に だいがく に にゅうがく しました,I entered my university in April.,<b>（　）</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。,[sound:f48ce38a9b9c9745036fe8adcf88acc6.mp3],"<img src=""41eec5af7053c0d4eddf736f4fe984a0.jpg"" />",Core 2000 Step 02 - 153,353,9,118,
これ,これ,これ,"this, this one",[sound:2c7798cf0deb60adc96816f6a1ad2bb1.mp3],Noun,,<b>これ</b>をください。,<b>これ</b>をください。,<b>これ</b>をください。,I'll have this please.,<b>（　）</b>をください。,[sound:5ed01bf0c9bb4842ac2deadfa495f772.mp3],"<img src=""f64076a17c175e6954d0dd8fa1c8ea70.jpg"" />",Core 2000 Step 01 - 006,6,10,5,
四,四[よん],よん,four,[sound:76bf438c1cb0d487d544d37770890c00.mp3],Noun,,ハワイは<b>四</b>回目です。,ハワイは<b> 四[よん]</b> 回目[かいめ]です。,はわい は <b>よん</b>かいめ です,This is my fourth trip to Hawaii.,ハワイは<b>（　）</b> 回目[かいめ]です。,[sound:f1a2c3fcdb909175f277ca2a50fa8f3c.mp3],"<img src=""84601d192d6e1f00537fbd49420fbb1b.jpg"" />",Core 2000 Step 02 - 187,387,11,131,
五つ,五[いつ]つ,いつつ,five (things),[sound:6d4f312f2d50d86bf8e44179d9bdba96.mp3],Noun,,桃を<b>五つ</b>ください。,桃[もも]を<b> 五[いつ]つ</b>ください。,もも を <b>いつつ</b> ください,"I'd like five peaches, please.",桃[もも]を<b>（　）</b>ください。,[sound:8b7eab9f0733ec96fd691fe4b0c1291c.mp3],"<img src=""7437f8d537ef343803e583aa1a18cd6d.jpg"" />",Core 2000 Step 02 - 130,330,12,390,
五,五[ご],ご,five,[sound:ae587e2733040477ee08e55c4e5d262f.mp3],Noun,,<b>五</b>人で旅行に行きました。,<b> 五[ご]</b> 人[にん]で 旅行[りょこう]に 行[い]きました。,<b>ご</b>にん で りょこう に いきました,Five of us went on a trip.,<b>（　）</b> 人[にん]で 旅行[りょこう]に 行[い]きました。,[sound:167bfc26b67448bbbe40694a5ad35f94.mp3],"<img src=""f459ab27e0db4a78e3677bfef485d045.jpg"" />",Core 2000 Step 02 - 147,347,13,181,
六つ,六[むっ]つ,むっつ,six (things),[sound:a28083dd300b29c76d5ca4d6f7d4677f.mp3],Noun,,息子は<b>六つ</b>になりました。,息子[むすこ]は<b> 六[むっ]つ</b>になりました。,むすこ は <b>むっつ</b> に なりました,My son turned six.,息子[むすこ]は<b>（　）</b>になりました。,[sound:3e592748dbe5238f723e755658d7a5ea.mp3],"<img src=""b766d0f79d33a4c129068e03ed39f5f8.jpg"" />",Core 2000 Step 02 - 097,297,14,207,
